price_date,brand,category,description,currency,page,0km,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL,63HP - 6.60 PARRALERO 4x2 (12.4R28),u$s,1,,,,,,,,,,,22000.0,21300.0,20700.0,20100.0,19500.0,18900.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL,63HP - 6.60 PARRALERO 4x4 (12.4R28),u$s,1,,,,,,,,,,,25000.0,24300.0,23500.0,22800.0,22100.0,21500.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL,76HP - 6.80 PARRALERO 4x2 (14.9R26),u$s,1,,,,,,,,,,,26000.0,25200.0,24500.0,23700.0,23000.0,22300.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL,76HP - 6.80 PARRALERO 4x4 (14.9R26),u$s,1,,,,,,,,,,,30000.0,29100.0,28200.0,27400.0,26600.0,25800.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - MERCOSUR,72HP - 6.75 STANDARD 4x2 C/3PTOS. S/CABINA (18.4R30),u$s,1,,,,,,,,,,,26000.0,25200.0,24500.0,23700.0,23000.0,22300.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - MERCOSUR,72HP - 6.75 STANDARD 4x4 C/3PTOS. S/CABINA (18.4R30),u$s,1,,,,,,,,,,,30000.0,29100.0,28200.0,27400.0,26600.0,25800.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - MERCOSUR,95HP - 6.95 STANDARD 4x2 C/3PTOS. S/CABINA (18.4R30),u$s,1,,,,,,,,,,,30000.0,29100.0,28200.0,27400.0,26600.0,25800.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - MERCOSUR,95HP - 6.95 STANDARD 4x4 C/3PTOS. S/CABINA (18.4R30),u$s,1,,,,,,,,,,,35000.0,34000.0,32900.0,31900.0,31000.0,30100.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,109HP - 6.110 STANDARD 4x4 S/3PTOS. S/CABINA (23.1R30),u$s,1,,,,,,,,,,,40000.0,38800.0,37600.0,36500.0,35400.0,34400.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,109HP - 6.110 STANDARD 4x4 C/3PTOS. S/CABINA (23.1R30),u$s,2,,,,,,,,,,,42000.0,40700.0,39500.0,38300.0,37200.0,36100.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,125HP - 6.125 STANDARD 4x4 S/3PTOS. S/CABINA (23.1R30),u$s,2,,,,,,,,,,,45000.0,43700.0,42300.0,41100.0,39800.0,38600.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,125HP - 6.125 STANDARD 4x4 C/3PTOS. S/CABINA (23.1R30),u$s,2,,,,,,,,,,,48000.0,46600.0,45200.0,43800.0,42500.0,41200.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,138HP - 6.135 STANDARD 4x4 S/3PTOS. S/CABINA (24.5R32),u$s,2,,,,,,,,,,,52000.0,50400.0,48900.0,47500.0,46000.0,44700.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,138HP - 6.135 STANDARD 4x4 C/3PTOS. S/CABINA (24.5R32),u$s,2,,,,,,,,,,,55000.0,53400.0,51800.0,50200.0,48700.0,47200.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,138HP - 6.135 STANDARD 4x4 S/3PTOS. C/CABINA (24.5R32),u$s,2,,,,,,,,,,,57000.0,55300.0,53600.0,52000.0,50500.0,49000.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,138HP - 6.135 STANDARD 4x4 C/3PTOS. C/CABINA (24.5R32),u$s,2,,,,,,,,,,,60000.0,58200.0,56500.0,54800.0,53100.0,51500.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,156HP - 6.150 STANDARD 4x4 S/3PTOS. S/CABINA (24.5R32),u$s,2,,,,,,,,,,,55000.0,53400.0,51800.0,50200.0,48700.0,47200.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,156HP - 6.150 STANDARD 4x4 C/3PTOS. S/CABINA (24.5R32),u$s,2,,,,,,,,,,,57000.0,55300.0,53600.0,52000.0,50500.0,49000.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,156HP - 6.150 STANDARD 4x4 S/3PTOS. C/CABINA (24.5R32),u$s,2,,,,,,,,,,,60000.0,58200.0,56500.0,54800.0,53100.0,51500.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,156HP - 6.150 STANDARD 4x4 C/3PTOS. C/CABINA (24.5R32),u$s,2,,,,,,,,,,,63000.0,61100.0,59200.0,57500.0,55700.0,54100.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,178HP - 6.175 STANDARD 4x4 S/3PTOS. S/CABINA (24.5R32),u$s,2,,,,,,,,,,,60000.0,58200.0,56500.0,54800.0,53100.0,51500.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,178HP - 6.175 STANDARD 4x4 C/3PTOS. S/CABINA (24.5R32),u$s,2,,,,,,,,,,,63000.0,61100.0,59200.0,57500.0,55700.0,54100.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,178HP - 6.175 STANDARD 4x4 S/3PTOS. C/CABINA (24.5R32),u$s,3,,,,,,,,,,,65000.0,63000.0,61200.0,59300.0,57500.0,55800.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,178HP - 6.175 STANDARD 4x4 C/3PTOS. C/CABINA (24.5R32),u$s,3,,,,,,,,,,,68000.0,65900.0,63900.0,62000.0,60200.0,58300.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,195HP - 6.190 STANDARD 4x4 S/3PTOS. S/CABINA (24.5R32),u$s,3,,,,,,,,,,,70000.0,67900.0,65800.0,63800.0,62000.0,60100.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,195HP - 6.190 STANDARD 4x4 C/3PTOS. S/CABINA (24.5R32),u$s,3,,,,,,,,,,,73000.0,70800.0,68600.0,66600.0,64600.0,62600.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,195HP - 6.190 STANDARD 4x4 S/3PTOS. C/CABINA (24.5R32),u$s,3,,,,,,,,,,,75000.0,72800.0,70600.0,68500.0,66400.0,64400.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,195HP - 6.190 STANDARD 4x4 C/3PTOS. C/CABINA (24.5R32),u$s,3,,,,,,,,,,,78000.0,75700.0,73400.0,71200.0,69100.0,67000.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,212HP - 6.220 STANDARD 4x4 S/3PTOS. S/CABINA (24.5R32),u$s,3,,,,,,,,,,,75000.0,72800.0,70600.0,68500.0,66400.0,64400.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,212HP - 6.220 STANDARD 4x4 C/3PTOS. S/CABINA (24.5R32),u$s,3,,,,,,,,,,,78000.0,75700.0,73400.0,71200.0,69100.0,67000.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,212HP - 6.220 STANDARD 4x4 S/3PTOS. C/CABINA (24.5R32),u$s,3,,,,,,,,,,,80000.0,77600.0,75300.0,73000.0,70800.0,68700.0
