item_id;url;scrape_status;scrape_error;fecha_publicacion;titulo;descripcion;precio;moneda;marca;modelo;anio;horas;seller_name;seller_url;seller_time_on_ml;ubicacion_address_line;ubicacion_ciudad;ubicacion_provincia;ubicacion_latitud;ubicacion_longitud;condicion;garantia;potencia;tipo_direccion
MLA2687212296;https://articulo.mercadolibre.com.ar/MLA-2687212296;ok;;;Pala Cargadora Lonking Cdm 833 Año 2014 Rentaltrucks Vial - US$ 32.000;"Pala Cargadora Lonking CDM 833 año 2014

º Solo 4000 horas
º Totalmente impecable
º Motor Cummins
º Excelente estado
º Sin pérdidas de ningún tipo
º Lista para salir a trabajar..
º Unidad totalmente recomendable..
Enviamos a todo el país
U$s 32.000 dólar blue
IVA a conversar
Aceptamos permuta


Ofertas de Rental Trucks:
Aceptamos tu camión o maquinaria como permuta
Tenemos los mejores precios del país
Hacemos envíos a todo el país, a la puerta de tu casa
Trabajamos con todas las marcas: Iveco, Mercedes, Ford, Scania, Volkswagen, Volvo y más
Tenemos +50 camiones en stock para la venta, consultanos

Somos Rental Trucks, compramos y enviamos camiones + maquinarias a todo el país hace más de 13 años";;;Lonking;Cdm 833;2014;4000;Rentaltrucksnqn;https://www.mercadolibre.com.ar/perfil/Rentaltrucksnqn;;;;;;;;;;
MLA2025670894;https://articulo.mercadolibre.com.ar/MLA-2025670894;ok;;;Tractor Pauny P-trac 160 Cummins 160hp - US$ 41.700;"Tractor Pauny P-Trac 160 

-CUMMINS 160HP
-4X4
-Despeje del suelo 59.5cm
-Altura máxima 3.22m
-Ancho total 3.12m

Financiación a medida – Tomamos tu máquina usada como parte de pago.

EISENMANNER – Representante de SINOMACH en Argentina.

SINOMACH es el mayor fabricante de maquinarias del mundo con presencia directa en más de 100 países.
Con sede central en Pekín y plantas industriales en distintos puntos de China, fabrica más de un millón de máquinas por año.
Se encuentra en el puesto 224 del ranking Fortune de las empresas más grandes del mundo, con más de 130.000 empleados.

Venta de máquinas NUEVAS

Venta de máquinas USADAS reacondicionadas.

Repuestos / Servicio Técnico / Mantenimiento

Realizamos el servicio de postventa y reparación de tu máquina.

Estamos para atenderte los 365 días del año las 24hs!";;;Pauny;P-TRAC 160;2008;24;Sinomach;https://www.mercadolibre.com.ar/perfil/Sinomach;;;;;;;;;;
MLA1510640809;https://articulo.mercadolibre.com.ar/MLA-1510640809;ok;;;Pala Cargadora Xcmg Lw321 - US$ 29.900;"Pala Cargadora XCMG LW321


¡VALOR EXPRESADO EN DOLAR OFICIAL!

Descripción:
Año: 2008.
Horas de uso: 5.400 hs.
¡¡ENTREGA PROGRAMADA!! Consultar..
Es perfecta para mover montones de tierra, arena o materiales pesados de un lado a otro sin sudar ni una gota. 
Tiene un balde (o cucharón) que puede cargar entre 1,80 y 2,00 metros cúbicos, lo que significa que puede agarrar y mover una buena cantidad de material de una sola vez. 
Con una capacidad de carga de 3.200 kg, puede llevar cosas muy pesadas sin problema. Y con su motor diesel de 125 caballos de fuerza, tiene suficiente potencia para hacer el trabajo rápidamente y sin detenerse.
Con balde de 1,80 / 2,00m3 y 3.200 kg. de capacidad de carga. 
Motor diesel de 125HP a 2.300 r.p.m. 
Marca YUCHAI.
Peso operativo de 10.000kg.

UBICACIÓN: Misiones, Argentina.

¿QUIENES SOMOS?

Maquin-ar es el primer sitio web en Argentina especializado en la compra y venta de maquinaria. Somos una empresa comprometida con facilitar la gestión comercial de maquinaria en diversos sectores de la actividad económica, ofreciendo un espacio seguro, confiable y eficiente para comprar y vender equipos usados.

¿QUE NOS DIFERENCIA?

Maquin-ar se destaca por su alcance y atención al cliente en todo el país. Contamos con:

Cobertura nacional: Comercialización en 24 provincias de Argentina.
Atención personalizada: Disponible las 24 horas, los 7 días de la semana.
Red de talleres: Más de 150 talleres zonales distribuidos en todo el país.
Financiación exclusiva: Línea de financiación bancaria para equipos usados.
Certificación de equipos: Todos los equipos tienen posibilidad de ser certificados a través de Worklift.
Gestores especializados: Un equipo de 50 gestores comerciales con amplia experiencia en el negocio de compra-venta de maquinaria usada.

Con Maquin-ar, garantizamos un proceso de compra y venta ágil, seguro y con el respaldo de expertos en el sector.";;;Xcmg;Lw321;2008;5400;Maquinar;https://www.mercadolibre.com.ar/perfil/Maquinar;;;;;;;;;;
MLA1644267725;https://articulo.mercadolibre.com.ar/MLA-1644267725;ok;;;Tavol Tl704 - 70hp Turbo 4x4 - Frutero - Cab/ *iva Incluido* - US$ 26.590;"Tractor TAVOL TL704 
 
MOTOR: 
Marca YTO - 4 Cilindros de 3,30 cc - 70HP - turbo alimentado - filtro de aire humedo - Inyeccion por  
bomba lineal mecanica 
 
TRANSMISION: 
4WD - 8 marchas de avance y 8 de retroceso - C/inversor de marchas mecanico - engranaje constante   
 
EMBRAGUE Y TOMA DE FUERZA: 
Seco de doble efecto - TDF mecanica de 2 velocidades 540/760 
 
SISTEMA HIDRAULICO: 
Flujo de caudal 38Lts./Min. - 2 salidas dobles de circuito abierto 
 
NEUMATICOS: 
Delanteros 280/70R20 (radiales) 
Traseros 380/85R24 (radiales) 

CABINA:
Equipada con aire acondicionado, calefacción , ventilador, estéreo USB y Bluetooth, con parlantes, techo tipo solar, apertura de todos los vidrios, puertas con cerradura y llave.

COMPRESOR DE AIRE:
Cuenta con compresor de aire para usos múltiples.

****EL PRECIO PUBLICADO ES CON IVA INCLUIDO****

******FLETE GRATIS HASTA 400km.******

REPRESENTANTE OFICIAL TAVOL

SERVICIO POST VENTA 

REPUESTOS ORIGINALES EN STOCK REAL

UNIDADES CON GARANTIA DE FABRICA

FINANCIACION:

-BNA CONECTA - TARJETAS PyME y AGRONACION

-CHEQUES

-FINANCIACION PROPIA CON PLANES A MEDIDA PARA CADA CLIENTE";;;TAVOL;TAVOL TL 704 - 70 HP - TURBO - DOBLE TRACCION -;2026;;Martinoagrimaquinarias;https://www.mercadolibre.com.ar/perfil/Martinoagrimaquinarias;;;;;;;;;;
MLA2797400842;https://articulo.mercadolibre.com.ar/MLA-2797400842;ok;;;Minitractor Cortacesped Husqvarna 19hp 42 Ts142 Hidrostatico - $ 7.990.890;El minitractor Husqvarna TS 142 es una máquina compacta y potente diseñada para facilitar el mantenimiento del césped y terrenos de tamaño mediano. Con un motor de 19 caballos de fuerza (hp), este minitractor ofrece la potencia necesaria para enfrentar diferentes tareas de corte y tracción.;;;Husqvarna;TS 124;2024;;Ekkon Expertos;https://www.mercadolibre.com.ar/perfil/Ekkon Expertos;;;;;;;;;;
MLA1598173285;https://articulo.mercadolibre.com.ar/MLA-1598173285;ok;;;Pala Y Retro Liangong M44 Motor Deutz  - 4x4 - Ejes Carraro - US$ 7.764;"Pala y Retro Liangong M44
- Potente motor Original DEUTZ de 95 hp.
- Transmisión de 8 velocidades, marca Carraro.
- Ejes delantero y trasero marca Carraro.
- Doble tracción, 4x4.
- Frenos húmedos de bajo mantenimiento, con accionamiento individual en ruedas traseras.
- Cabina moderna con Amplia visibilidad, ROPS FOPS.
- Vidrios ""French Green"" anti UV.
- Aire Acondicionado Frío / Calor.
- Butaca ergonométrica ajustable.
- Parabrisa desmontable con guías.

EL PRECIO PUBLICADO CORRESPONDE A ANTICIPO EN DOLARES AMERICANOS. TIPO DE CAMBIO PESO – DÓLAR DEL DÍA DE LA VENTA DEL EQUIPO. LOS PRECIOS NO INCLUYEN IVA, FLETE, SEGURO, PATENTAMIENTO. 
PROMOCIÓN VÁLIDA HASTA AGOTAR STOCK.
LAS IMÁGENES SON DE CARÁCTER ILUSTRATIVO AL PRODUCTO PROMOCIONADO

SU CONSULTA NO MOLESTA . UN ASESOR COMERCIAL SE PONDRÁ EN CONTACTO CON USTED
(54) 0348 443 5800 . consultas@biscayneservicios.com 
CASA MATRIZ: Ruta Panamericana N°9 - Km. 38.5 - Garín (Escobar)
SUCURSALES EN: QUILMES, LA PLATA Y CÓRDOBA Y DISTRIBUIDORES OFICIALES EN TODO EL PAÍS

PLANES DE FINANCIACIÓN A MEDIDA
REPUESTOS - GARANTÍA - POST VENTA
VENTA DE EQUIPOS VIALES: para la construcción, movimiento de suelo, energía, forestal, agro, petróleo y logística

BISCAYNE MÁS DE 50 AÑOS - PRESENTES EN TODO EL PAÍS
Con una trayectoria de más de 50 años en el mercado de maquinaria vial, y una moderna Casa Central con talleres de ensamblado, Pre Entrega y Reparación de Equipos en la localidad de Garín, Biscayne brinda Garantía, Servicio Post-Venta y Repuestos con el respaldo de un servicio integral confiable, de calidad y con proyección comercial a largo plazo.
Conozca sus diez líneas de productos: Cargadoras, Motoniveladoras, Compactadores, Retroexcavadoras, Pala Y Retro, Mini Palas, Terminadoras, Topadoras, Autoelevadores y Plataformas de elevación
www.biscayneservicios.com";;;LIANGONG;M44;2025;;Biscayne;https://www.mercadolibre.com.ar/perfil/Biscayne;;;;;;;;;;
MLA1517829345;https://articulo.mercadolibre.com.ar/MLA-1517829345;ok;;;Cargador Frontal Iron 930s (1m3) - 87hp  - US$ 28.600;"ESPECIFICACIONES TÉCNICAS DEL PRODUCTO

Peso Operativo : 5.000 kg
Dimensiones : 5800x1860x2730
Capacidad de Balde : 1m3
Capacidad de Carga : 2000 kg
Altura Máxima de Descarga : 3000mm
Indicador Posición de Carga : SI
Motor : Yunnei YN33GBZ
Tipo : 4 cilindros en línea , refrigerado por agua
Potencia : 87Hp - 2400 rpm

TRANSMISION
Convertidor de Torque : YJ265
Transmisión : Powershift
Velocidades : 2 de Avance + 2 de Retroceso

SISTEMA HIDRAULICO
Presión de Trabajo :16Mpa
Tiempo de Elevación : 4.8 Seg.
Capacidad de Tanque Hidráulico : 60 Lts.

DIRECCION
Tipo : Hidráulica
Radio de Giro Mínimo : 3500 mm

Neumáticos : 16/70-40
Ancho de Balde : 2100 mm";;;Iron;IRON930S;2025;;Irongroup;https://www.mercadolibre.com.ar/perfil/Irongroup;;;;;;;;;;
MLA1574327447;https://articulo.mercadolibre.com.ar/MLA-1574327447;ok;;;Tractor Hanomag 300a Nuevo 4x2 / 4x4, 30hp Nuevo Hay Entrega - US$ 10.400;"CONSULTE DESCUENTO ESPECIAL POR PAGO CONTADO TOTAL
PRECIO + IVA 10.5%

TRACCION SUR S.A. - CONCESIONARIO OFICIAL MICHIGAN Y HANOMAG
(TRES ARROYOS, PROV BS AS)
VENTAS A TODOS LOS PUNTOS DEL PAÍS.
FIJO 02983-432547
CELULARES 02983-15695206/15524077

Tractor Hanomag 300A, con motor de 28,3 HP, tracción 4×2 y caja de 8+2 velocidades.

Tipo: Tractor agrícola.
Motor: Hanomag KM385BT aspirado (3 cilindros, 1.532 cc, 28,3 HP). Inyección directa.
Tracción: 4×2.
Transmisión: Caja de 8+2 velocidades (Alta y Baja).
Embrague: Doble.
Dirección: Hidráulica.
TDP: 540/1.000 rpm (21,5 HP).
Sistema hidráulico: Doble bomba para dirección e implementos. Levante de 3 puntos Categoría 0 (422 Kg).
Rodados delanteros: 5.00×16.
Rodados traseros: 9.5×24.
Puesto de comando: Plataforma, con arco de seguridad anti-vuelco.
DIMENSIONES
Peso: 1.300 Kg.
Largo: 2.900 mm
Ancho: 1.470 mm.
Altura: 1.500 mm.
Trocha delantera: 1.100/1.300 mm.
Trocha trasera: 1.150/1.350 mm.
Distancia entre ejes: 1.570 mm.
Despeje: 348 mm.
Tanque de combustible: 21 litros.";;;Hanomag;300A;2024;;Traccion Sur;https://www.mercadolibre.com.ar/perfil/Traccion Sur;;;;;;;;;;
MLA2752718584;https://articulo.mercadolibre.com.ar/MLA-2752718584;ok;;;Cosechadora John Deere 9770 Sts Importada  2010 - 758 - US$ 200.000;"Cosechadora John Deere 9770 STS Importada – Año 2010 Serie 758

La John Deere 9770 STS es una de las cosechadoras más confiables y eficientes de su categoría. Reconocida por su robustez, capacidad y tecnología, es la elección ideal para productores que buscan maximizar rendimiento y reducir pérdidas de grano en cada campaña.

Características Técnicas

- Marca y modelo: John Deere 9770 STS
- Año: 2010
- Origen: Importada
- Horas motor: 5.085 hs
- Horas rotor/separador: 3.612 hs
- Motor: John Deere PowerTech Plus – 375 hp (máx. 400 hp)
- Sistema de trilla y separación: Rotor axial STS (Single Tine Separator)
- Tolva de grano: 10.600 L (300 bushels)
- Descarga: Tubo de alta capacidad (~3,3 l/s)
- Plataforma compatible: Draper o Flex de 30 a 40 pies (opcional según disponibilidad)
- Cabina: Premium climatizada, con controles ergonómicos y excelente visibilidad
- Tecnología: GreenStar Ready – lista para piloto automático y monitores de rendimiento

Beneficios para el Productor

- Alta capacidad de cosecha: diseñada para trabajar en grandes extensiones de soja, maíz y trigo.
- Menor pérdida de grano: el sistema STS garantiza una trilla uniforme y eficiente.
- Uso equilibrado: relación horas motor/rotor que demuestra un mantenimiento responsable.
- Confort en largas jornadas: cabina amplia, climatizada y equipada para mayor productividad.
- Excelente reventa: los modelos importados de John Deere tienen gran demanda en el mercado.

Oportunidad de Compra

Cosechadora John Deere 9770 STS Importada – Año 2010
- 5.085 hs motor / 3.612 hs rotor
- Potencia, confiabilidad y tecnología para tu próxima campaña
- Lista para trabajar

Ubicación: Paraná, Entre Ríos";;;John Deere;9770 STS;2010;5085;Impomotorsargentina;https://www.mercadolibre.com.ar/perfil/Impomotorsargentina;;;;;;;;;;
MLA2618911096;https://articulo.mercadolibre.com.ar/MLA-2618911096;ok;;;Pala Cargadora Frontal 1.5m3 - Eisen 932 1.5 Metros Cúbicos - US$ 42.900;"Pala Cargadora Frontal 1.5m3 EISEN 932

-Potencia 114HP
-4x4
-Capacidad 1.5m3
-Carga máxima 2.500kg
-Altura máxima de descarga 4.23m
-Joystick
-Aire Acondicionado

Financiación a medida – Tomamos tu máquina usada como parte de pago.

EISENMANNER – Representante de SINOMACH en Argentina.

SINOMACH es el mayor fabricante de maquinarias del mundo con presencia directa en más de 100 países.
Con sede central en Pekín y plantas industriales en distintos puntos de China, fabrica más de un millón de máquinas por año.
Se encuentra en el puesto 224 del ranking Fortune de las empresas más grandes del mundo, con más de 130.000 empleados.

Venta de máquinas NUEVAS

Venta de máquinas USADAS reacondicionadas.

Repuestos / Servicio Técnico / Mantenimiento

Realizamos el servicio de postventa y reparación de tu máquina.

Estamos para atenderte los 365 días del año las 24hs!";;;Eisen;932;2024;24;Sinomach;https://www.mercadolibre.com.ar/perfil/Sinomach;;;;;;;;;;
