url;titulo;descripcion;condicion;marca;modelo;precio;iva;descuento;ubicacion;formas_de_pago;hp_motor;carac__Año;carac__Horas de motor reales;carac__Potencia motor (hp);carac__Tipo de tracción;carac__Tipo de tractor;carac__Tipo de transmisión;carac__Tres puntos;carac__error
https://rastroagro.com/tractores/john-deere-8220-2004-pub-26-01-09-09-41-55;Tractor John Deere 8220;Productos similares ‹ › U$S 70.040 + IVA Tractor Zanello 500 C 2003 Córdoba : O KM ‹ › Consultar -8% DE CONTADO Tractor Valtra S 324 2026 Buenos Aires ‹ › Consultar Tractor Zanello 500 C 1997 Buenos Aires ‹ › U$S 62.830 + IVA Tractor Zanello 540 C 1998 Córdoba ‹ › U$S 80.340 + IVA Tractor Pauny 500 C 2006 Buenos Aires ‹ › U$S 64.890 + IVA Tractor Zanello 540 C 1998 Buenos Aires : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny EVO 540 C 2026 Buenos Aires ‹ › U$S 128.750 + IVA -10% DE CONTADO Tractor Pauny 540 Novo 2017 Buenos Aires ‹ › Consultar -7% DE CONTADO Tractor Pauny 500 C 2011 Buenos Aires ‹ › Consultar Tractor Pauny EVO 540 C 2012 Buenos Aires Productos similares;usado;John Deere;8220;Consultar;;;Córdoba;Anticipo 40 % + saldo a convenír | Anticipo 40 % + 6 cheques | Córdoba | Medios de pago | Financiamiento;225;2004;3800;225;Doble;Agrícola;;NO;
https://rastroagro.com/tractores/massey-ferguson-4297-0-pub-24-09-13-14-08-10;Tractor Massey Ferguson 4297;Tractor Massey Ferguson 4297 Productos similares ‹ › Consultar Tractor Pauny EVO 250 A 2022 Santa Fe : O KM ‹ › U$S 62.521 -8% DE CONTADO Tractor Chery RC 1204 2026 Buenos Aires ‹ › Consultar Tractor Massey Ferguson 1215 1986 Buenos Aires ‹ › Consultar Tractor Massey Ferguson 630 2006 Buenos Aires ‹ › U$S 92.700 + IVA -5% DE CONTADO Tractor Massey Ferguson 6480 2008 Buenos Aires : O KM ‹ › Consultar -5% DE CONTADO Tractor Case Farmall 100 M 2026 Buenos Aires ‹ › U$S 43.260 Tractor Deutz Fahr AX 4.160 1994 Córdoba ‹ › Consultar Tractor Fiat 180-90 1995 Córdoba ‹ › U$S 120.510 + IVA Tractor Case Puma 170 2017 Buenos Aires ‹ › Consultar Tractor Agco Allis 6.125 2011 Buenos Aires Productos similares;nuevo;Massey Ferguson;4297;Consultar;;;Buenos Aires;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;129;2026;;129;Doble;Agrícola;;NO;
https://rastroagro.com/tractores/zanello-up-100-1985-pub-24-09-16-17-08-02;Tractor Zanello UP 100;Zanello UP 100 / motor reparado de 0, cuenta con menos de 2.000 hs de reparado / bomba hidráulica nueva / listo para trabajar Productos similares ‹ › U$S 22.660 + IVA Tractor Zanello UP 100 1986 Buenos Aires ‹ › Consultar Tractor Deutz AX 4.100 No especifica Buenos Aires ‹ › Consultar Tractor Deutz Fahr AX 4.75 1992 Buenos Aires ‹ › Consultar Tractor Deutz Fahr A86 No especifica Santa Fe ‹ › U$S 28.840 + IVA Tractor Valtra A850 2010 Santa Fe ‹ › U$S 22.660 Tractor Massey Ferguson 1195 1984 Santa Fe : O KM ‹ › Consultar Tractor Massey Ferguson 3308 2026 Córdoba : O KM ‹ › Consultar -5% DE CONTADO Tractor Case Farmall 55 JXM 2026 Buenos Aires : O KM : INMEDIATA ‹ › U$S 18.734 IVA incluido Tractor Bronco 604 2026 Buenos Aires ‹ › U$S 41.715 + IVA Tractor Kubota MX 5100 2022 Buenos Aires Productos similares;usado;Zanello UP;100;"$
                                    
                                    16.995.000";;;Córdoba;Anticipo 40 % + 4 cheques | Córdoba | Medios de pago | Financiamiento;100;1985;2000;100;4x2;Agrícola;Mecánica;NO;
https://rastroagro.com/tractores/chery-rk500-0-pub-24-09-09-15-25-37;Tractor Chery RK500;Tractor Chery RK500 Productos similares ‹ › Consultar Tractor Fiat 700E No especifica Buenos Aires ‹ › U$S 33.990 + IVA Tractor Fiat 880 1990 Buenos Aires : O KM Consultar Tractor Roland H H080 2026 Buenos Aires ‹ › Consultar Tractor Zanello UP 100 No especifica Buenos Aires ‹ › U$S 18.540 + IVA Tractor Massey Ferguson 1095 No especifica Buenos Aires : O KM ‹ › Consultar Tractor Chery RA500G 2026 Córdoba ‹ › U$S 41.200 + IVA Tractor Valtra A990 2010 Buenos Aires : O KM ‹ › U$S 29.664 + IVA Tractor Roland H H 070 2026 Buenos Aires ‹ › Consultar Tractor Universal R533 No especifica Buenos Aires : O KM ‹ › U$S 37.460 IVA incluido Tractor Chery RK 904 2026 Buenos Aires Productos similares;nuevo;Chery;RK500;"U$S
                                    
                                    35.947 + IVA";+ IVA;;Córdoba;Anticipo 50 % + saldo a convenír | Córdoba | Medios de pago | Financiamiento;55;2026;;55;Doble;Agrícola;;SI;
https://rastroagro.com/tractores/massey-ferguson-7415-0-pub-24-09-13-14-13-14;Tractor Massey Ferguson 7415;Tractor Massey Ferguson 7415 Productos similares ‹ › U$S 72.100 + IVA Tractor Pauny 500 C 2013 Buenos Aires ‹ › U$S 97.850 + IVA Tractor Case Magnum 240 2004 Santiago del Estero ‹ › U$S 80.340 + IVA Tractor Pauny 500 C 2006 Buenos Aires ‹ › Consultar Tractor Pauny EVO 540 C 2020 Santa Fe ‹ › Consultar Tractor Zanello 417 No especifica Santa Fe ‹ › U$S 72.100 + IVA Tractor Pauny Audaz 2200 2019 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 7726 2026 Buenos Aires ‹ › U$S 226.600 + IVA Tractor Case Magnum 305 2010 Santa Fe ‹ › U$S 90.228 + IVA Tractor Pauny EVO 500 C 2013 Santa Fe ‹ › U$S 133.900 + IVA Tractor Pauny EVO 540 C 2021 Buenos Aires Productos similares;nuevo;Massey Ferguson;7415;Consultar;;;Buenos Aires;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;225;2026;;225;Doble;Agrícola;;No especifica;
https://rastroagro.com/tractores/pauny-evo-280-a-2024-pub-24-09-13-11-44-34;Tractor Pauny EVO 280 A;Tractor con motor turbo / Arranque eléctrico / inyección directa / 2 tanques de combustible / 10 velocidades de avance y 2 de retroceso / Sistema hidráulico Abierto - (Opcional Cerrado) / Cabina presurizada / Contrapesos delanteros / Opcional Piloto Automático Cuffia Productos similares ‹ › Consultar Tractor Zanello UP 100 No especifica Córdoba ‹ › Consultar Tractor Massey Ferguson 630F 2008 Santa Fe : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny P-Trac 180 2026 Buenos Aires ‹ › U$S 87.550 + IVA Tractor Agco Allis 6.150 2011 Córdoba ‹ › Consultar Tractor New Holland TS 6040 2012 Córdoba ‹ › U$S 35.020 + IVA Tractor Zanello 4200 1986 Buenos Aires U$S 46.350 + IVA Tractor Massey Ferguson 660 2004 Buenos Aires ‹ › Consultar Tractor Agrinar T150-4 2007 Buenos Aires ‹ › U$S 56.650 + IVA Tractor Deutz Fahr AX 4.170 No especifica Santa Fe ‹ › Consultar Tractor Massey Ferguson 297 2004 Córdoba Productos similares;nuevo;Pauny EVO 280;A;"U$S
                                    
                                    106.338 + IVA";+ IVA;;Buenos Aires;Anticipo 40 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;180;2026;;180;Doble;Agrícola;;NO;
https://rastroagro.com/tractores/zanello-540-1998-pub-24-09-16-17-18-47;Tractor Zanello 540 C;Tractor Zanello 540 C / con aire nuevo recién a estrenar / caja reparada a 0 Productos similares : O KM ‹ › Consultar Tractor Massey Ferguson 7726 2026 Buenos Aires ‹ › U$S 103.000 Tractor New Holland T7.205 2018 Santa Fe ‹ › U$S 72.100 + IVA -5% DE CONTADO Tractor John Deere 4960 1997 Buenos Aires ‹ › U$S 61.800 + IVA Tractor Zanello 500 C 1995 Buenos Aires ‹ › Consultar Tractor Pauny Audaz 2200 2019 Córdoba : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny 580 Bravo 2026 Buenos Aires ‹ › U$S 128.750 + IVA Tractor Case Puma 205 No especifica Santa Fe ‹ › U$S 139.050 Tractor Pauny 540 C 2021 Santa Fe : O KM ‹ › Consultar Tractor Pauny Novo 500 2026 Buenos Aires : O KM ‹ › Consultar Tractor Valtra S294 2026 Córdoba Productos similares;usado;Zanello 540;C;"U$S
                                    
                                    62.830 + IVA";+ IVA;;Córdoba;Anticipo 40 % + 4 cheques | Córdoba | Medios de pago | Financiamiento;240;1998;0;240;4x4;Agrícola;Mecánica;NO;
https://rastroagro.com/tractores/zanello-450-1988-pub-24-09-17-11-01-19;Tractor Zanello 450;Zanello 450 / motor deutz nuevo / caja nueva / butaca nueva / con climatic / optimas condiciones para trabajar / muy bien de gomas Productos similares ‹ › U$S 23.199 Tractor Massey Ferguson 1095 1985 Buenos Aires ‹ › U$S 103.000 + IVA -5% DE CONTADO Tractor Case Puma 180 2013 Buenos Aires ‹ › Consultar -7% DE CONTADO Tractor John Deere 7505 2005 Buenos Aires ‹ › U$S 20.600 + IVA Tractor Fiat Agritec 120F 1985 Córdoba ‹ › U$S 87.550 + IVA Tractor John Deere 7800 1997 Córdoba ‹ › Consultar Tractor Valtra BH 160 2005 Buenos Aires ‹ › U$S 60.770 + IVA Tractor Pauny 280 EVO 2014 Córdoba ‹ › U$S 120.510 + IVA Tractor Case Puma 170 2017 Buenos Aires ‹ › U$S 46.350 + IVA Tractor Pauny 250 A 2007 Córdoba : O KM : INMEDIATA ‹ › Consultar -8% DE CONTADO Tractor Valtra A990 2026 Buenos Aires Productos similares;usado;Zanello;450;"U$S
                                    
                                    44.290 + IVA";+ IVA;;Buenos Aires;Anticipo 40 % + 4 cheques | Buenos Aires | Medios de pago | Financiamiento;160;1988;2000;160;Articulado;Agrícola;Mecánica;NO;
https://rastroagro.com/tractores/massey-ferguson-6712r-0-pub-24-09-13-13-52-57;Tractor Massey Ferguson 6712R;Tractor Massey Ferguson 6712R Productos similares : INMEDIATA ‹ › U$S 77.250 + IVA Tractor Case Maxxum 180 2008 Buenos Aires ‹ › U$S 20.600 + IVA Tractor Zanello 417 1984 Buenos Aires ‹ › Consultar Tractor Deutz AX 4.120 1986 Buenos Aires ‹ › U$S 65.920 + IVA Tractor Agco Allis 6.150 A 2010 Buenos Aires ‹ › U$S 49.440 + IVA Tractor Zanello 450 1990 Buenos Aires ‹ › U$S 87.550 + IVA -10% DE CONTADO Tractor Case 8920 1998 La Pampa : O KM ‹ › U$S 305.837 + IVA Tractor Massey Ferguson 7726 2026 Buenos Aires : O KM : INMEDIATA ‹ › U$S 82.971 Tractor Chery RS 1604 2026 La Pampa ‹ › U$S 92.700 + IVA -5% DE CONTADO Tractor Massey Ferguson 6480 2008 Buenos Aires ‹ › Consultar Tractor Zanello 220 No especifica Córdoba Productos similares;nuevo;Massey Ferguson;6712R;Consultar;;;Buenos Aires;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;125;2026;;125;Doble;Agrícola;;No especifica;
https://rastroagro.com/tractores/zanello-4160-2024-pub-24-09-17-15-43-16;Tractor Zanello 4160;Zanello 4.160 / MOTOR: Perkins / Cilindros: 6 (seis) / Cilindrada: 7.930 cm3 / Potencia: (KW/HP) 120 Kw/163 h.p. / Torque: 630 Nm. / Aspiración: potenciado. / Régimen nominal: 2300 RPM. / Sistema de refrigeración: por agua / Sistema inyección: bomba inyectora lineal / TRASMISION synchron gearshift. / Caja de cambios: sincronizada / Numero de marchas: 12 avance + 4 retroceso / Velocidades: 4 a 12 km/h 10. / Bloqueo de diferencial trasero: mecánico / Embrague: monodisco seco / Accionamiento/diámetro (mm) mecánico/355mm. Toma de fuerza Tipo: independiente/sincrónica / Accionamiento: mecánico / Rotación nominal (rpm): 540/1000. Potencia a la T.D.F: 135.6/99.70 Hp-Kw. Productos similares ‹ › U$S 27.810 + IVA Tractor Deutz Fahr AX110L No especifica Santa Fe ‹ › U$S 77.250 + IVA Tractor Valtra BH160 2006 Buenos Aires ‹ › U$S 100.940 + IVA Tractor Valtra BT170 2014 Córdoba : O KM Consultar -5% DE CONTADO Tractor Case Farmall 110A 2026 Buenos Aires ‹ › U$S 51.500 + IVA Tractor Zanello 450 1990 Buenos Aires ‹ › U$S 43.260 Tractor Deutz Fahr AX 4.160 1994 Córdoba ‹ › Consultar Tractor Massey Ferguson 1195 No especifica Córdoba : INMEDIATA ‹ › U$S 36.050 + IVA Tractor Zanello 4200 1985 Buenos Aires : O KM Consultar Tractor Valtra T 195 2026 Buenos Aires ‹ › Consultar Tractor John Deere 4530 1980 Buenos Aires Productos similares;nuevo;Zanello;4160;Consultar;;;Córdoba;Anticipo 40 % + 12 cheques | Córdoba | Medios de pago | Financiamiento;160;2024;0;160;4x4;Agrícola;Mecánica;SI;
