marca;modelo;anio;horas_uso;hp_motor;moneda;precio_publicado;url
Pauny;280A;2008;4000;180;USD;55.000;https://ricardoventurino.com.ar/producto/tractor-pauny-280a-180-hp-4wd-paton-2008/
New Holland;T8.295;2015;3000;270;USD;150.000;https://ricardoventurino.com.ar/producto/tractor-new-holland-t8-295-270-hp-4wd-dual-2015/
John Deere;7230r;2018;8100;230;USD;210.000;https://ricardoventurino.com.ar/producto/tractor-john-deere-7230r-230-hp-4wd-dual-2018/
John Deere;7210J;2013;12000;210;USD;140.000;https://ricardoventurino.com.ar/producto/tractor-john-deere-7210j-210-hp-4wddual-2013/
John Deere;6145j;2013;;145;USD;90.000;https://ricardoventurino.com.ar/producto/tractor-john-deere-6145j-145hp-4wd-dual-2013/
John Deere;6100d;2011;11000;100;USD;50.000;https://ricardoventurino.com.ar/producto/tractor-john-deere-6100d-100hp-4wd-simple-2011/
John Deere;5065ES;2013;3400;65;USD;29.000;https://ricardoventurino.com.ar/producto/tractor-john-deere-5065es-65-hp-2wd-simple-2013/
John Deere;5045Ds;2013;9350;45;USD;23.000;https://ricardoventurino.com.ar/producto/tractor-john-deere-5045ds-45-hp-2wd-paton-2013/
John Deere;3530;1980;1500;105;USD;18.000;https://ricardoventurino.com.ar/producto/tractor-john-deere-3530-105hp-2wd-paton-1980/
Case IH;Puma 225;2017;14000;225;USD;110.000;https://ricardoventurino.com.ar/producto/tractor-case-ih-puma-225-hp-2wd-dual-ano-2017/
Case IH;MXM150;2009;12000;150;USD;60.000;https://ricardoventurino.com.ar/producto/tractor-case-ih-mxm150-150hp-4wd-paton-2009/
Case IH;CIH MAGNUM 315;2017;13000;315;USD;190.000;https://ricardoventurino.com.ar/producto/tractor-case-ih-magnum-315-4wd-rod-dual-del-y-tras-piloto/
Case IH;290;2014;10500;290;USD;170.000;https://ricardoventurino.com.ar/producto/tractor-case-ih-magnum-290-290hp-4wd-dual-2014/
Case IH;290;2012;12000;290;USD;160.000;https://ricardoventurino.com.ar/producto/tractor-case-ih-magnum-290-290hp-4wd-dual-2012/
