origen;url;titulo;precio;moneda;marca;modelo;hp_motor;anio;formas_pago;ubicacion;condicion;descripcion;precio_nor
Rastroagro;https://rastroagro.com/tractores/john-deere-8220-2004-pub-26-01-09-09-41-55;Tractor John Deere 8220;Consultar;;John Deere;8220;225.0;2004.0;Anticipo 40 % + saldo a convenír | Anticipo 40 % + 6 cheques | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Productos similares : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny 500 Novo 2026 Buenos Aires ‹ › Consultar -5% DE CONTADO Tractor Case Puma 210 2014 Buenos Aires ‹ › U$S 162.740 + IVA -10% DE CONTADO Tractor New Holland T7.245 2012 Buenos Aires ‹ › Consultar Tractor Zanello 540 C No especifica Buenos Aires : O KM Consultar -10% DE CONTADO Tractor Case Magnum 260 2026 Buenos Aires ‹ › U$S 113.300 + IVA Tractor John Deere 4960 1994 Santa Fe ‹ › U$S 87.550 + IVA -10% DE CONTADO Tractor Agco Allis 6.220 2004 Buenos Aires : O KM ‹ › Consultar -5% DE CONTADO Tractor Case Puma 215 2026 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 7390 2026 Buenos Aires : O KM ‹ › Consultar Tractor Valtra S294 2026 Córdoba Productos similares;
Rastroagro;https://rastroagro.com/tractores/zanello-450-1988-pub-24-09-17-11-01-19;Tractor Zanello 450;U$S 44.290 + IVA;USD;Zanello;450;160.0;1988.0;Anticipo 40 % + 4 cheques | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Zanello 450 / motor deutz nuevo / caja nueva / butaca nueva / con climatic / optimas condiciones para trabajar / muy bien de gomas Productos similares ‹ › U$S 123.600 Tractor New Holland T7.195 2018 Santa Fe ‹ › Consultar Tractor Zanello 220 No especifica Córdoba ‹ › Consultar Tractor Valtra AR190 2019 Buenos Aires ‹ › Consultar Tractor New Holland T7.195 2019 Buenos Aires ‹ › U$S 30.900 Tractor John Deere 6405 2003 Corrientes ‹ › U$S 99.910 + IVA -10% DE CONTADO Tractor Massey Ferguson 6480 2007 Buenos Aires ‹ › Consultar Tractor Massey Ferguson 650 2005 Buenos Aires ‹ › U$S 185.400 + IVA Tractor Massey Ferguson 7370 2021 Córdoba ‹ › U$S 51.500 + IVA Tractor Valtra BH145 2008 Córdoba ‹ › Consultar Tractor Massey Ferguson 1195 S 1997 Buenos Aires Productos similares;44290.0
Rastroagro;https://rastroagro.com/tractores/zanello-4160-2024-pub-24-09-17-15-43-16;Tractor Zanello 4160;Consultar;;Zanello;4160;160.0;2024.0;Anticipo 40 % + 12 cheques | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Zanello 4.160 / MOTOR: Perkins / Cilindros: 6 (seis) / Cilindrada: 7.930 cm3 / Potencia: (KW/HP) 120 Kw/163 h.p. / Torque: 630 Nm. / Aspiración: potenciado. / Régimen nominal: 2300 RPM. / Sistema de refrigeración: por agua / Sistema inyección: bomba inyectora lineal / TRASMISION synchron gearshift. / Caja de cambios: sincronizada / Numero de marchas: 12 avance + 4 retroceso / Velocidades: 4 a 12 km/h 10. / Bloqueo de diferencial trasero: mecánico / Embrague: monodisco seco / Accionamiento/diámetro (mm) mecánico/355mm. Toma de fuerza Tipo: independiente/sincrónica / Accionamiento: mecánico / Rotación nominal (rpm): 540/1000. Potencia a la T.D.F: 135.6/99.70 Hp-Kw. Productos similares ‹ › U$S 49.440 + IVA Tractor Zanello 450 1990 Buenos Aires ‹ › U$S 83.945 + IVA -5% DE CONTADO Tractor Agco Allis 6.190 A 2009 Buenos Aires : O KM Consultar Tractor Lovol 1804 2026 Córdoba ‹ › Consultar Tractor Pauny EVO 250 2013 Buenos Aires ‹ › Consultar Tractor Agco Allis 6.125 2011 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 4297 2026 Buenos Aires ‹ › Consultar Tractor Massey Ferguson 630F 2008 Santa Fe ‹ › Consultar Tractor Pauny EVO 280 A 2021 Santa Fe : O KM Consultar Tractor Valtra T 195 2026 Buenos Aires ‹ › U$S 56.650 + IVA Tractor Pauny 250 A 2008 Córdoba Productos similares;
Rastroagro;https://rastroagro.com/tractores/massey-ferguson-4297-0-pub-24-09-13-14-08-10;Tractor Massey Ferguson 4297;Consultar;;Massey Ferguson;4297;129.0;2026.0;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor Massey Ferguson 4297 Productos similares ‹ › U$S 44.290 + IVA Tractor Zanello 450 1988 Buenos Aires ‹ › U$S 39.140 + IVA -5% DE CONTADO Tractor Zanello 460 1993 Buenos Aires ‹ › U$S 51.500 + IVA Tractor Valmet 1780 1996 Córdoba : O KM ‹ › Consultar Tractor Pauny 250 C 2026 Buenos Aires : O KM ‹ › Consultar Tractor Valtra BH154 2026 Córdoba ‹ › U$S 56.650 + IVA Tractor New Holland TM 7040 2008 Buenos Aires U$S 37.100 + IVA -15% DE CONTADO Tractor Massey Ferguson 1195 L No especifica Córdoba ‹ › Consultar Tractor Zanello W4200 1983 Buenos Aires ‹ › U$S 83.430 + IVA Tractor Massey Ferguson 7180 2011 Santa Fe ‹ › Consultar Tractor Pauny EVO 250 2013 Buenos Aires Productos similares;
Rastroagro;https://rastroagro.com/tractores/pauny-evo-280-a-2024-pub-24-09-13-11-44-34;Tractor Pauny EVO 280 A;U$S 106.338 + IVA;USD;Pauny EVO 280;A;180.0;2026.0;Anticipo 40 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor con motor turbo / Arranque eléctrico / inyección directa / 2 tanques de combustible / 10 velocidades de avance y 2 de retroceso / Sistema hidráulico Abierto - (Opcional Cerrado) / Cabina presurizada / Contrapesos delanteros / Opcional Piloto Automático Cuffia Productos similares ‹ › Consultar Tractor Pauny EVO 250 A 2016 Chaco ‹ › U$S 24.720 Tractor Massey Ferguson 1195 1987 Chaco ‹ › U$S 47.380 + IVA Tractor Deutz Fahr AX 4.120 No especifica Buenos Aires : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny P-Trac 180 2026 Buenos Aires : O KM : INMEDIATA ‹ › U$S 82.971 Tractor Chery RS 1604 2026 La Pampa ‹ › U$S 70.040 + IVA Tractor Pauny 280 A 2012 Buenos Aires ‹ › Consultar Tractor Massey Ferguson 296 1996 Buenos Aires ‹ › U$S 26.780 Tractor Deutz Fahr AX 120 1986 Buenos Aires ‹ › Consultar Tractor Deutz Fahr AX 120 1990 Santa Fe ‹ › U$S 83.430 Tractor Case MxM 180 2004 Santa Fe Productos similares;106338.0
Rastroagro;https://rastroagro.com/tractores/zanello-up-100-1985-pub-24-09-16-17-08-02;Tractor Zanello UP 100;$16.995.000,00;ARS;Zanello UP;100;100.0;1985.0;Anticipo 40 % + 4 cheques | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Zanello UP 100 / motor reparado de 0, cuenta con menos de 2.000 hs de reparado / bomba hidráulica nueva / listo para trabajar Productos similares ‹ › U$S 4.944 Tractor John Deere 730 1980 Buenos Aires ‹ › Consultar Tractor Massey Ferguson 155 No especifica Buenos Aires ‹ › U$S 9.270 + IVA Tractor Fiat 800e 1978 Buenos Aires ‹ › U$S 40.280 Tractor Deutz Allis 5.80F 1998 Buenos Aires ‹ › Consultar Tractor Deutz AX 4.100 No especifica Buenos Aires ‹ › U$S 24.720 Tractor Massey Ferguson 1195 L 1995 Córdoba : O KM ‹ › U$S 33.040 IVA incluido Tractor Chery RK 704 2026 Buenos Aires ‹ › U$S 36.050 + IVA Tractor New Holland TD5.100 2014 Buenos Aires ‹ › U$S 25.440 + IVA Tractor Massey Ferguson 290 No especifica Buenos Aires ‹ › U$S 24.205 + IVA Tractor Zanello UP 100 1986 Buenos Aires Productos similares;11330.0
Rastroagro;https://rastroagro.com/tractores/chery-rk500-0-pub-24-09-09-15-25-37;Tractor Chery RK500;U$S 35.947 + IVA;USD;Chery;RK500;55.0;2026.0;Anticipo 50 % + saldo a convenír | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Tractor Chery RK500 Productos similares ‹ › U$S 12.360 + IVA -10% DE CONTADO Tractor Massey Ferguson 1075 1975 Buenos Aires : O KM : INMEDIATA ‹ › U$S 76.638 Tractor John Deere 5080EN 2026 Buenos Aires : O KM U$S 29.582 IVA incluido Tractor Kioti DK5810N 2026 Buenos Aires ‹ › U$S 41.200 + IVA Tractor New Holland TD95D 2011 Santa Fe ‹ › Consultar Tractor Massey Ferguson 1075 No especifica Buenos Aires ‹ › Consultar Tractor Deutz Fahr AX 80 No especifica Córdoba ‹ › U$S 80.340 Tractor Massey Ferguson 297 con grúa 2006 Buenos Aires ‹ › U$S 4.944 Tractor John Deere 730 1980 Buenos Aires : INMEDIATA ‹ › Consultar Tractor Valtra A950 No especifica Buenos Aires : O KM : INMEDIATA ‹ › Consultar Tractor Bronco 804 2026 Buenos Aires Productos similares;35947.0
Rastroagro;https://rastroagro.com/tractores/massey-ferguson-7415-0-pub-24-09-13-14-13-14;Tractor Massey Ferguson 7415;Consultar;;Massey Ferguson;7415;225.0;2026.0;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor Massey Ferguson 7415 Productos similares : O KM : INMEDIATA ‹ › Consultar Tractor Valtra BT 210 2026 Buenos Aires ‹ › U$S 61.800 + IVA -5% DE CONTADO Tractor Pauny EVO 500 C 2016 La Pampa ‹ › U$S 70.040 + IVA Tractor Pauny 540 C 2006 Santa Fe ‹ › U$S 89.610 + IVA -10% DE CONTADO Tractor Agco Allis 6.220 2003 Buenos Aires : INMEDIATA ‹ › Consultar Tractor Zanello 540 98 Buenos Aires ‹ › U$S 242.050 + IVA -5% DE CONTADO Tractor Case Magnum 260 2017 Buenos Aires ‹ › Consultar Tractor Pauny EVO 540 C 2012 Buenos Aires Consultar Tractor Case Magnum 240 2004 Santa Fe : O KM ‹ › Consultar Tractor Pauny Brioso 2215 ie 2026 Buenos Aires : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny EVO 540 C 2026 Buenos Aires Productos similares;
Rastroagro;https://rastroagro.com/tractores/massey-ferguson-6712r-0-pub-24-09-13-13-52-57;Tractor Massey Ferguson 6712R;Consultar;;Massey Ferguson;6712R;125.0;2026.0;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor Massey Ferguson 6712R Productos similares : O KM ‹ › U$S 94.770 IVA incluido Tractor Zanello 4.170 2026 Córdoba ‹ › U$S 41.200 Tractor John Deere 6600 2000 Córdoba : O KM ‹ › Consultar Tractor Massey Ferguson 7390 2026 Buenos Aires ‹ › U$S 26.780 + IVA Tractor John Deere 3530 No especifica Córdoba : O KM : INMEDIATA ‹ › U$S 63.757 + IVA Tractor Chery 1404 2026 La Pampa : O KM Consultar Tractor Massey Ferguson 6711 2026 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 6713 2026 Buenos Aires ‹ › U$S 51.500 + IVA Tractor Case Farmall 110 A No especifica Santa Fe ‹ › U$S 49.440 + IVA Tractor Zanello 450 1990 Buenos Aires U$S 68.959 Tractor Deutz Fahr 6.125 2005 Córdoba Productos similares;
Rastroagro;https://rastroagro.com/tractores/zanello-540-1998-pub-24-09-16-17-18-47;Tractor Zanello 540 C;U$S 62.830 + IVA;USD;Zanello 540;C;240.0;1998.0;Anticipo 40 % + 4 cheques | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Tractor Zanello 540 C / con aire nuevo recién a estrenar / caja reparada a 0 Productos similares : O KM ‹ › Consultar Tractor Pauny Novo 500 2026 Buenos Aires : INMEDIATA ‹ › Consultar Tractor Zanello 540 98 Buenos Aires : O KM ‹ › U$S 146.772 IVA incluido Tractor Zanello 2240 2026 Córdoba ‹ › U$S 94.760 + IVA Tractor Valtra 220 2017 Chaco : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny 780 Bravo 2026 Buenos Aires : O KM Consultar Tractor Valtra T 210 2026 Buenos Aires ‹ › U$S 169.950 + IVA -10% DE CONTADO Tractor Case Magnum 270 2008 La Pampa : O KM Consultar Tractor Valtra BH224 2026 Buenos Aires : O KM ‹ › Consultar Tractor Valtra BT 210 2026 Córdoba ‹ › U$S 51.500 + IVA -5% DE CONTADO Tractor Zanello 500 C 1996 La Pampa Productos similares;62830.0
